Spit,Lithics,Shellfish,Vertebrate,Plant,Baked_clay,Pottery,SQB_center_end_level,SQE_center_end_level,sq_e_cumul_depth_below_surface,sq_b_cumul_depth_below_surface,age
1,1.248750297548203,2.2106641275886694,0.4382289930968816,0.022613663413472984,0,1.5282075696262796,1.62,1.56,0.07000000000000006,0.03,238.515
2,2.261646555674355,13.899495952344585,2.519627310218421,0.0059569268367191085,0.0763708568810142,2.7233847563769666,1.66,1.61,0.1200000000000001,0.07,296.368
3,2.7615520850104653,53.292545483819026,8.819835775237483,0.13604894541941714,0.3703107390114313,0.6391885364675576,1.7,1.66,0.16999999999999993,0.11,362.601
4,1.943056943056943,30.719280719280718,11.897269397269396,0.10872460872460872,0,0.06160506160506161,1.76,1.7,0.20999999999999996,0.17,996.481
5,2.2034961302375233,22.017614091273018,11.322658126501201,0.10101414464905258,3.976514544969309,0,1.82,1.745,0.2550000000000001,0.23,1624.995
6,2.0421138877509217,22.12208111429742,9.506104055714871,0.1812371978697255,2.3105284719377304,0,1.88,1.795,0.30499999999999994,0.29,2209.222
7,3.4927643784786637,24.025974025974023,15.788682745825602,0.1805194805194805,1.37291280148423,0,1.94,1.855,0.365,0.35,2834.059
8,3.9895412407891615,21.274067031138582,8.825053482291422,0.11433325410030902,0.45162823864986934,0,1.975,1.9,0.4099999999999999,0.385,3297.915
9,2.0073950822702904,16.546496579774452,6.294694028471066,0.058975781105564805,2.070623035681272,0,2.015,1.97,0.48,0.425,3730.024
10,3.4552332912988653,16.663664204647812,5.47757160871915,0.057467123040893534,2.918393082327509,0,2.075,2.015,0.5250000000000001,0.485,3950.399
11,2.2131115072291543,26.143790849673206,7.101802337096455,0.10873440285204992,0.6337888690829868,0,2.115,2.075,0.5850000000000002,0.525,4036.95
12,5.4935312831389185,40.08483563096501,6.782820784729586,0.1007423117709438,1.7391304347826086,0,2.15,2.125,0.635,0.56,4051.376
13,4.420450281425892,32.45778611632271,6.458724202626643,0.3234521575984991,1.5947467166979366,0,2.205,2.2,0.7100000000000002,0.615,4071.184
14,4.464976059585033,29.52651179287108,7.347579358042208,0.3631849618726725,0.5674765029260508,0,2.25,2.26,0.7699999999999998,0.66,4088.239
15,6.289305155299392,23.214857508805636,6.0235350624399615,0,0.4322766570605187,0,2.315,2.3,0.8099999999999998,0.725,4129.74
16,7.143172849250197,17.363851617995262,6.202999210734017,3.382794001578532,0.07103393843725335,0,2.38,2.345,0.8550000000000002,0.79,4257.317
17,6.153536370500881,18.877422602567332,10.973571608356407,0.199345582683111,1.9884218474704256,0,2.4,2.41,0.9200000000000002,0.81,4270.67
18,5.907443789565597,16.15367823619297,9.135996507312813,0.10870988867059594,0.7276431637924762,0,2.485,2.445,0.9549999999999998,0.895,4311.573
19,8.141514321663829,24.202501665309747,10.628376878099326,0.16638294722818442,0.7253349122936865,0,2.54,2.51,1.0199999999999998,0.95,4336.705
20,7.056451612903224,25.28561827956989,15.418346774193546,0.2431115591397849,0.34442204301075263,0,2.58,2.58,1.09,0.99,4356.768
21,6.9391490010675625,27.985359158151596,19.39240506329114,0.07915205124294647,0.27451578465761783,0,2.645,2.615,1.1250000000000002,1.055,4627.328
22,7.280096067247074,22.590813569498653,16.68357850495347,0.050135094566196345,0.45031522065445817,0,2.75,2.66,1.1700000000000002,1.16,5474.274
23,7.16078547172597,12.033072493725085,16.012992765391996,0.1350952310645209,0.4576996899453713,0,2.765,2.71,1.22,1.175,5572.378
24,8.042499549792906,36.28669187826401,12.503151449666847,0.14514676751305602,0,0,2.84,2.745,1.2550000000000001,1.25,6069.215
25,9.11489565843128,27.98432877588551,12.313104661389623,0.052290717198368926,0,0,2.895,2.81,1.32,1.305,6539.327
26,12.786361214704316,16.07174569348251,8.009412182560824,0.10726336352335288,0.8701829160007104,0,2.94,2.87,1.3800000000000001,1.35,6600.702
27,16.719745222929937,25.000000000000004,6.9441082802547776,0.08216560509554141,0.8837579617834397,0,2.99,2.925,1.4349999999999998,1.4,6654.339
28,9.530162965786714,32.116649194701225,8.05317830934909,0.21766892213856856,0.266844563042028,0,3.05,2.975,1.485,1.46,6718.572
29,8.402320423135983,26.531308650400955,7.902405732810101,0.06347039754308138,0,0,3.09,3.03,1.5399999999999998,1.5,6768.508
30,10.2147417295415,23.505513639001745,6.7351131746953,0.07672663958212421,0,0,3.18,3.08,1.59,1.59,6877.361
31,7.659037664444043,16.6696702108488,9.534330510001801,0.11749864840511803,0,0,3.225,3.14,1.6500000000000001,1.635,6910.429
32,12.761458883938687,15.328852978932268,8.869289435928415,0.20433436532507743,0,0,3.625,3.19,1.7,2.035,7240.856
33,8.798669807399195,24.109740889566297,7.757239850353331,0.4651517250935291,0,0,3.34,3.23,1.74,1.75,6994.612
34,9.288210410152658,20.323707927165717,7.605848813684017,0.39525473606768435,0.14713996689350745,0,3.395,3.275,1.785,1.805,7058.789
35,8.618666666666668,9.666666666666668,9.609555555555557,0.33422222222222225,0.1777777777777778,0,3.435,3.325,1.8350000000000002,1.845,7103.382
36,5.145588874402433,10.719976821671736,3.909169926119078,0.027379400260756193,0.07243227582210633,0,3.495,3.365,1.8750000000000002,1.905,7150.73
37,7.991770849818009,7.912644405760404,5.14527615128976,0.04431080867225826,0,0,3.54,3.415,1.925,1.95,7183.195
38,13.927576601671307,12.90133411523237,5.408004691394223,0.19865122416068023,0,0,3.61,3.45,1.9600000000000002,2.02,7230.746
39,11.704789135096496,22.337383845604,6.920657612580414,0.1826304503216583,0,0,3.65,3.515,2.0250000000000004,2.06,7257.571
40,13.556116015132407,26.79697351828499,5.012820512820512,0.1414459857082808,0,0,3.695,3.55,2.06,2.105,7287.082
41,20.535797629048822,25.109679828246062,5.534584150098012,0.08961075329039486,0,0,3.74,3.6,2.1100000000000003,2.15,7318.281
42,15.252480379090775,14.067821708870131,5.592329335110322,0.07877980156967274,0,0,3.79,3.64,2.1500000000000004,2.2,7355.274
43,4.283739595719382,16.34958382877527,6.850326991676576,0.0034185493460166475,0,0,3.835,3.675,2.185,2.245,7399.378
44,6.308411214953271,17.601246105919003,0.056386292834890966,0.014641744548286604,0,0,3.885,3.74,2.2500000000000004,2.295,7612.996
45,10.986321094312455,14.254859611231101,11.12742980561555,0.004175665946724262,0,0,3.94,3.85,2.3600000000000003,2.35,7800.086
46,7.60996822211072,14.550928248871047,8.427496236828901,0.018230473323298208,0,0,3.99,3.85,2.3600000000000003,2.4,7941.371
47,11.922503725782413,11.326378539493293,7.969746646795826,0.007451564828614008,0,0,4.035,3.885,2.395,2.445,8061.715
48,7.90729379686435,10.497614178595775,7.832992501704158,0.03135650988411725,0,0,4.085,3.92,2.43,2.495,8197.897
49,9.754990925589835,8.166969147005444,8.333333333333332,0.0043859649122807015,0,0,4.13,3.99,2.5000000000000004,2.54,8317.019
50,15.313390313390313,5.0569800569800565,7.4974358974358974,0.009401709401709401,0,0,4.175,4.035,2.5450000000000004,2.585,8445.38
51,14.322598179100417,3.1254246500883265,8.819268922407934,0.045114825383883665,0,0,4.22,4.09,2.6,2.63,8587.476
52,13.38602753697093,0,7.570499745028046,0.0010198878123406424,0,0,4.285,4.215,2.725,2.695,8900.117
53,22.470407276131876,8.560155152812143,0.1966160636661539,0.06486992576740451,0,0,4.34,4.18,2.69,2.75,9154.889
54,24.81102712316585,12.094264117385505,5.851489550911516,0.06047132058692752,0,0,4.38,4.215,2.725,2.79,9301.074
55,20.52734029375332,7.609272695098213,4.5147761458149,0.11201557246505044,0,0,4.43,4.27,2.78,2.84,9467.296
56,21.00705580500321,4.810776138550353,5.028383579217447,0.055163566388710714,0,0,4.4799999999999995,4.315,2.8250000000000006,2.89,9552.132
57,15.456329735034346,1.8809290153745502,7.305037618580307,0.014883873078181224,0.5397448478900884,0,4.529999999999999,4.34,2.85,2.94,9586.766
58,16.280304370907803,2.2119978764820387,4.0707839320474255,0,0.6547513714386834,0,4.535,4.39,2.9,2.945,9589.954
59,16.698172652804033,2.2336168872085698,6.655954631379962,0.05608065532451166,0.45683679899180846,0,4.57,4.44,2.9500000000000006,2.98,9611.401
60,2.7404085700049827,2.491280518186348,0.3281846869290816,0.08387311077894039,0,0,4.601,4.9,3.4100000000000006,3.011,9629.737
61,13.575585968224004,3.67531854648419,5.269781343400975,0.019348749410099102,2.02139373918515,0,4.655,4.525,3.0350000000000006,3.065,9660.721
62,27.347114556416876,2.033448176859029,4.271748492678724,0.05124892334194659,0,0,4.695,4.56,3.07,3.105,9684.952
63,47.898938503377494,0.10790420212299326,2.179489428897272,0.008597245372401087,0.23686288270900957,0,4.755,4.59,3.1,3.165,9724.566
64,23.117623117623115,5.431339031339031,0.8454212454212453,0,0.9279609279609279,0,4.785,4.35,2.86,3.195,9748.695
65,11.830819284235433,0.16430050280981956,0.3825791186039633,0,0,0,4.82,4.685,3.195,3.23,9921.416
66,3.3073593073593064,0.03409090909090908,0.0468073593073593,0,0,0,4.88,4.745,3.2550000000000003,3.29,10355.218
67,6.561777645216613,0.05905599880694951,0.13779733054954887,0.006561777645216612,0,0,4.91,4.76,3.27,3.32,10529.068
68,0.9586393505991494,0,0.05380749903362968,0,0.15461925009663702,0,4.965,4.82,3.3300000000000005,3.375,10835.928
69,1.3282674772036476,0.12181435585690906,0.013794715922375498,0.0030395136778115506,0,0,5.03,4.855,3.3650000000000007,3.44,11174.123
70,2.9138616485555255,0.020010601643254702,0.004240657301881791,0,0,0,5.08,4.915,3.4250000000000003,3.49,11432.623
71,4.163918933109315,0.0410584899716476,0.030137561692743894,0.22807938674787362,0,0,5.1275,4.955,3.4650000000000003,3.538,11684.965
72,1.6981061081148874,0.07500313558259124,0.01680672268907563,0,0,0,5.1275,5.03,3.5400000000000005,3.538,11684.965
73,0.6289344498989315,0.02468957551256136,0,0,0,0,5.1275,5.07,3.5800000000000005,3.538,11684.965
